'imie','plec'
'FRANCISZEK','M'
'FRANCISZKA','K'
'FRYDERYK','M'
'GABRIEL','M'
'GABRIELA','K'
'GAJA','K'
'GLORIA','K'
'GNIEWKO','M'
'GNIEWOMIR','M'
'GRACJAN','M'
'GRETA','K'
'GRZEGORZ','M'
'GUSTAW','M'
'HALINA','K'
'HANA','K'
'HANNA','K'
'HELENA','K'
'HENRYK','M'
'HONORATA','K'
'HUBERT','M'
'HUGO','M'
'IDA','K'
'IDALIA','K'
'IGA','K'
'IGNACY','M'
'IGOR','M'
'ILONA','K'
'INES','K'
'INEZ','K'
'INGA','K'
'INKA','K'
'IRENA','K'
'IRENEUSZ','M'
'IVO','M'
'IWO','M'
'IWONA','K'
'IZABELA','K'
'IZABELLA','K'
'JACEK','M'
'JADWIGA','K'
'JAGNA','K'
'JAGODA','K'
'JAKUB','M'
'JAN','M'
'JANA','K'
'JANINA','K'
'JANUSZ','M'
'JAREMA','M'
'JAROSŁAW','M'
'JAŚMINA','K'
'JEREMI','M'
'JEREMIASZ','M'
'JERZY','M'
'JESSICA','K'
'JĘDRZEJ','M'
'JOACHIM','M'
'JOANNA','K'
'JOEL','M'
'JOLANTA','K'
'JONASZ','M'
'JONATAN','M'
'JOWITA','K'
'JÓZEF','M'
'JUDYTA','K'
'JULIA','K'
'JULIAN','M'
'JULIANNA','K'
'JULITA','K'
'JULIUSZ','M'
'JUSTYNA','K'
'KACPER','M'
'KAI','M'
'KAJA','K'
'KAJETAN','M'
'KALINA','K'
'KAMIL','M'
'KAMILA','K'
'KARIM','M'
'KARINA','K'
'KAROL','M'
'KAROLINA','K'
'KASJAN','M'
'KASPIAN','M'
'KATARZYNA','K'
'KATIA','K'
'KAZIMIERZ','M'
'KEVIN','M'
'KEWIN','M'
'KINGA','K'
'KLARA','K'
'KLAUDIA','K'
'KLAUDIUSZ','M'
'KLEMENS','M'
'KLEMENTYNA','K'
'KONRAD','M'
'KONSTANCJA','K'
'KONSTANTY','M'
'KORDIAN','M'
'KORNEL','M'
'KORNELIA','K'
'KORNELIUSZ','M'
'KOSMA','M'
'KRYSPIN','M'
'KRYSTIAN','M'
'KRYSTYNA','K'
'KRZYSZTOF','M'
'KSAWERY','M'
'KSAWIER','M'
'KSENIA','K'
'KUBA','M'
'LARA','K'
'LARYSA','K'
'LAURA','K'
'LEA','K'
'LENA','K'
'LEO','M'
'LEON','M'
'LEONARD','M'
'LEONARDO','M'
'LEOPOLD','M'
'LESZEK','M'
'LIDIA','K'
'LILA','K'
'LILIA','K'
'LILIANA','K'
'LILIANNA','K'
'LILLA','K'
'LIVIA','K'
'LIWIA','K'
'LUCJAN','M'
'LUCYNA','K'
'LUDWIK','M'
'LUDWIKA','K'
'LUIZA','K'
'ŁUCJA','K'
'ŁUKASZ','M'
'MACIEJ','M'
'MAGDA','K'
'MAGDALENA','K'
'MAJA','K'
'MAJKA','K'
'MAKS','M'
'MAKSYM','M'
'MAKSYMILIAN','M'
'MALINA','K'
'MALWINA','K'
'MAŁGORZATA','K'
'MARCEL','M'
'MARCELA','K'
'MARCELI','M'
'MARCELINA','K'
'MARCIN','M'
'MARCJANNA','K'
'MAREK','M'
'MARIA','K'
'MARIANNA','K'
'MARIKA','K'
'MARIUSZ','M'
'MARLENA','K'
'MARTA','K'
'MARTIN','M'
'MARTYNA','K'
'MARZENA','K'
'MATEUSZ','M'
'MATYLDA','K'
'MAURYCY','M'
'MAX','M'
'MAXIMILIAN','M'
'MAXYMILIAN','M'
'MAYA','K'
'MELANIA','K'
'MELISA','K'
'MIA','K'
'MICHAEL','M'
'MICHALINA','K'
'MICHAŁ','M'
'MICHELLE','K'
'MIECZYSŁAW','M'
'MIESZKO','M'
'MIKOŁAJ','M'
'MILA','K'
'MILAN','M'
'MILENA','K'
'MIŁOSZ','M'
'MIRA','K'
'MIRIAM','K'
'MIRON','M'
'MIROSŁAW','M'
'MONIKA','K'
'NADIA','K'
'NAOMI','K'
'NATALIA','K'
'NATAN','M'
'NATANIEL','M'
'NATASZA','K'
'NATHAN','M'
'NATHANIEL','M'
'NEL','K'
'NELA','K'
'NICOL','K'
'NICOLA','K'
'NICOLAS','M'
'NICOLE','K'
'NIKODEM','M'
'NIKOLA','K'
'NIKOLAS','M'
'NINA','K'
'NOEMI','K'
'NORBERT','M'
'OKSANA','K'
'OKTAWIA','K'
'OKTAWIAN','M'
'OLA','K'
'OLAF','M'
'OLEG','M'
'OLGA','K'
'OLGIERD','M'
'OLIMPIA','K'
'OLIVER','M'
'OLIVIA','K'
'OLIVIER','M'
'OLIWER','M'
'OLIWIA','K'
'OLIWIER','M'
'ORIANA','K'
'OSCAR','M'
'OSKAR','M'
'OTYLIA','K'
'PASCAL','M'
'PATRYCJA','K'
'PATRYK','M'
'PAULA','K'
'PAULINA','K'
'PAWEŁ','M'
'PHILIP','M'
'PIOTR','M'
'POLA','K'
'PRZEMYSŁAW','M'
'RADOSŁAW','M'
'RAFAŁ','M'
'REMIGIUSZ','M'
'RITA','K'
'ROBERT','M'
'ROCH','M'
'ROKSANA','K'
'ROMA','K'
'ROMAN','M'
'ROXANA','K'
'ROZALIA','K'
'RÓŻA','K'
'RYAN','M'
'RYSZARD','M'
'SABINA','K'
'SAMANTA','K'
'SAMUEL','M'
'SANDRA','K'
'SANTIAGO','M'
'SARA','K'
'SEBASTIAN','M'
'SELENA','K'
'SERGIUSZ','M'
'SEWERYN','M'
'SŁAWOMIR','M'
'SOFIA','K'
'SONIA','K'
'SOPHIE','K'
'STANISŁAW','M'
'STEFAN','M'
'STEFANIA','K'
'STELLA','K'
'SYLWESTER','M'
'SYLWIA','K'
'SZCZEPAN','M'
'SZYMON','M'
'TADEUSZ','M'
'TAMARA','K'
'TATIANA','K'
'TEODOR','M'
'TEOFIL','M'
'TERESA','K'
'TOBIASZ','M'
'TOLA','K'
'TOMASZ','M'
'TYMON','M'
'TYMOTEUSZ','M'
'TYTUS','M'
'URSZULA','K'
'VANESSA','K'
'VICTOR','M'
'VICTORIA','K'
'VIKTORIA','K'
'VINCENT','M'
'VIVIANA','K'
'WANDA','K'
'WANESA','K'
'WANESSA','K'
'WERONIKA','K'
'WIKTOR','M'
'WIKTORIA','K'
'WILHELM','M'
'WILLIAM','M'
'WINCENTY','M'
'WIOLETTA','K'
'WITOLD','M'
'WŁADYSŁAW','M'
'WOJCIECH','M'
'XAVIER','M'
'ZACHARY','M'
'ZBIGNIEW','M'
'ZIEMOWIT','M'
'ZOFIA','K'
'ZOJA','K'
'ZUZANNA','K'
'ŻANETA','K'
