name,ile_pat
INST CHEMII ORGANICZNEJ POLSKIEJ AKADEMII NAUK,19
POMORSKA AKADEMIA MEDYCZNA,18
ZELMER,18
AIRWAY MEDIX S A,18
FLOREK RYSZARD,18
POLMAG,18
TERMO ORGANIKA SP Z O O,18
ELPIGAZ SP Z O O,18
PLUCIENNICZAK GRAZYNA,18
LITWINSKI ARTUR,18
CIUPIK LECHOSLAW FRANCISZEK,18
INST CHEMII NIEORGANICZNEJ,18
SECO WARWICK SP Z O O,18
LEDs ON,18
ONCOARENDI THERAPEUTICS SP Z O O,18
FAMUR INST SP Z O O,18
HUTA BAILDON,18
WYSZKO ELIZA,17
INST CHEMII BIOORG POLSKIEJ AKADEMII NAUK,17
AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA,17
BARANSKI SLAWOMIR,17
GUMULA STANISLAW,17
HUETTINGER ELECTRONIC SP Z O O,17
INVENTO SPOLKA Z O O,17
INST BADAN JADROWYCH,17
INST FIZIKI JADROWEJ,17
NOWAKOWSKA MARIA,17
KORFF MICHAEL,17
RESZKE EDWARD,17
LACHOWSKI JAROSLAW,17
ORANGE POLSKA S A,17
INST CHEMII ORGANICZNEJ PAN,17
GOLCZ ANDRZEJ,17
CURIOSITY DIAGNOSTICS SP Z O O,17
MIKSA KRZYSZTOF,17
GAMIAN ANDRZEJ,17
PIOTROWSKI ZYGMUNT,17
TRW STEERING SYSTEMS POLAND SP Z O O,16
SEED LABS SP Z O O,16
ZAKLADY ENERGETYCZNE OKREGU PO,16
MALKOWSKI MARCIN,16
INST PRZEMYSLU MIESNEGO,16
WYSZOGRODZKI WOJCIECH,16
GRADON LEON,16
MALKOWSKA MAGDALENA,16
GRABANIA BOGDAN,16
AZO DIGITAL SP Z O O,16
FAKRO PP SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,16
GORA JACEK,16
KOSATKA-PIORO ALEKSANDRA,16
RASZUK ROBERT,16
IVONA SOFTWARE SP Z O O,16
KORONA S A,15
CHODYNSKI MICHAL,15
JAREMEK HENRYK,15
FIBAR GROUP S A,15
CELTHER POLSKA SP Z O O,15
NIEWCZAS JAROSLAW,15
INTEGER PL S A,15
UNIV TECHNOLOGIE DE VARSOVIE,15
INST MECH PRECYZ,15
PRZED PROJEKTOWANIA,15
AKAD MEDYCZNA,15
BARCISZEWSKI JAN,15
PILAB S A,15
PROTEON PHARMACEUTICALS S A,15
MALINOWSKI LUKASZ,15
INTERNEHSHNL TOBAKKO MASHINERI POLAND SP Z O O,15
NOWAK WOJCIECH TOMASZ,15
TRW POLSKA SP Z O O,15
MARKETING I KONSULTING PER ANDERS BRATTEMO,15
INTERNESHNL TOBAKKO MASH POLAND SP Z O O,15
JANCZAK TOMASZ,14
INST METALLURGII ZELEZA IMENI,14
STOCZNIA SZCZECINSKA,14
PRZEMYSLOWY INST MOTORYZACJI,14
INST FARMAKOLOGII POLSKIEJ AKADEMII NAUK,14
UNIV WARMINSKO MAZURSKI W OLSZTYNIE,14
LAGIEWKA PRZEMYSLAW,14
CT BADAWCZO ROZWOJOWE EPAR SP Z O O,14
FUND ROZWOJU KARDIOCHIRURGII IM PROF ZBIGNIEWA RELIGI,14
KOZLOWSKI RYSZARD,14
GLISZCZYNSKI RAFAL JAN,14
INST MEDYCYNY DOSWIADCZALNEJ I,14
BAJRASZEWSKI TOMASZ,14
PISKORZ IRENEUSZ,14
MIKIEWICZ-SYGULA DIANA,14
WIETRZYK JOANNA,14
EDBAK SP Z O O,14
SZKOLA GLOWNA GOSPOD WIEJSK AK,14
AIC SPOLKA AKCYJNA,14
BROJEK WIESLAW,14
ATON HT S A,14
BANAS ANTONI,14
LOS PRZEMYSLAW,14
GRONWALD JACEK,14
FULCZYK MAREK,14
CT BADAN KOSM POLSKIEJ AKADEMII NAUK,14
HUZARSKI TOMASZ,14
OS BAD ROZWOJOWY,14
ZAKLAD URZADZEN GAZOWNICZYCH G,14
PANCERZ JANUSZ,13
DOMINIAK RYSZARD,13
WYSOCKI ARKADIUSZ,13
KORONA SA,13
OLEDZKI WIESLAW JULIAN,13
JEUTE PIOTR,13
KOWALEWSKI WITOLD,13
WISZNIEWSKI ANDRZEJ,13
BAK TADEUSZ,13
ZAWROTNIAK BOZENA,13
GRZEGORY IZABELLA,13
BYRSKI TOMASZ,13
SKOTAN SPOLKA AKCYJNA,13
WYZSZA SZKOLA INZYNIERSKA,13
KAZANA KRZYSZTOF,13
GALAS ADAM SLAWOMIR,13
WROBEL ANDRZEJ,13
PRZED PROJEKTOWANIA I DOSTAW K,13
SIEREDZINSKI MAREK,13
GARSTECKI PIOTR,13
INST BIOLOG DOSWIADCZALNEJ IM M NENCKIEGO PAN,13
BATOG BARBARA,13
PUSZ GRZEGORZ ROMAN,13
CZYZEWSKI JAN,13
CARDIONOVUM SP Z O O,13
STRZYZ STANISLAW,13
AXTONE SPOLKA AKCYJNA,13
KULA PIOTR,13
TARCHOMINSKIE ZAKLAD FARMA,13
CT BADAN WYSOKOCISNIENIOWYCH,13
DZIEKAN MARCIN,13
BARANOWSKI GRZEGORZ,13
INST ELEKTROTECHNIKI,13
SUSKI TADEUSZ,13
HENRYK BURY MIELEC SP Z O O,13
SZEJA WIESLAW,12
GLOWNY INSTYTUT GORNICTWA,12
DEMCZUK PAWEL,12
GRELA KAROL,12
ADAM MICKIEWICZ UNIV,12
HAINTZE JERZY,12
BINARTECH SP Z O O,12
KACZMAREK LUKASZ,12
KOZDRAS JAN,12
NANO TECH SP Z O O,12
WIMMER MARKUS,12
JAXA NETWORKS,12
TOKARZ ZBIGNIEW,12
BIOTEK SP Z O O,12
INST TECHNOLOGII NAFTY,12
CYBULSKI CEZARY,12
PIECZYKOLAN JERZY SZCZEPAN,12
DRUTEX S A,12
RUMINSKI WITALIS,12
DRUKARNIA ELLERT SP Z O O,12
MEDICALGORITHMICS LTD,12
BODASINSKI JACEK,12
POROWSKI SYLWESTER,12
DECORA SPOLKA AKCYJNA,12
KRUSZEWSKA DANUTA,12
HAINTZE ANDRZEJ,12
CZYSZ DARIUSZ,12
SZYMANSKI ANDRZEJ,12
SELENA LABS SP Z O O,12
AIUT SP Z O O,12
JASSEM JACEK,12
INST IMMUNOLOGII I TERAPII DOSWIADCZALNEJ POLSKIEJ AKADEMII NAUK,12
GORSKI BOHDAN,12
INVENTO SP Z O O,12
AIRWAY MEDIX SPOLKA Z O O,12
PACZKOWSKI JACEK,12
FITAK HANNA,12
STRUSZCZYK HENRYK,12
MOSTOWSKI ROBERT,12
POLSKA AKADEMIA NAUK ZAKLAD,12
WOJTKOWSKI MACIEJ,12
WOJSKOWY INST CHEMII I RADIOMETRII,12
QIN ZHONGBIN,12
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,12
LED LABS SP Z O O,12
POMERANIAN ACADEMY OF MEDICINE,11
ANGA USZCZELNIENIA MECHANICZNE,11
ZAKL FARM POLPHARMA SA,11
REBIZANT WALDEMAR,11
GRZELAKOWSKI KRZYSZTOF,11
WROCLAW UNIVERSITY OF TECHNOLOGY,11
UNIV MEDYCZNY IM KAROLA MARCINKOWSKIEGO,11
SELMAJ KRZYSZTOF,11
MARCINEK ANDRZEJ,11
BIURO P PRZEMYSLU METAL,11
WEBER-DABROWSKA BEATA,11
DECYLION SP Z O O,11
HTL-STREFA SPOLKA AKCYJNA,11
PLANIKA SP Z O O,11
AMMONO S A,11
PAWELEC SLAWOMIR,11
PELLASX SPÓLKA Z O O SPÓLKA KOMANDYTOWA,11
EFNEO SP Z O O,11
BUDMAT BOGDAN WIECEK,11
PAWLOWSKI MACIEJ,11
BLIRT S A,11
SZECHNER BARBARA,11
GOLDASZ JANUSZ,11
MRUGALSKI GRZEGORZ,11
ORTOPEDYCZNA MEDORT S A FA,11
FABRIKA UZHONDZEN MEK KAMAKS S,11
PASZKOWSKI MARIUSZ,11
CHOJNACKI WOJCIECH JERZY,11
INST BADAWCZY DRÓG I MOSTÓW,11
KOZLUK TOMASZ,11
KACZOR MAREK,11
CELON PHARMA SP Z O O,11
MUSZYNSKI ARKADIUSZ,11
WOJSKOWY INST TECHNIKI INZYNIERYJNEJ IM PROFESORA JOZEFA KOSACKIEGO,11
ZAKLADY CHEM BLACHOWINA,11
UNIV MEDYCZNY W LODZI,10
ZAKLADY FARMACEUTYCZNE POLPHARMA S A,10
SIENKIEL KAMIL,10
CIESLIK TADEUSZ,10
SILVAIR SP Z O O,10
PRZED PROD CONSULTINGOWE ADOB SP Z O O SP K,10
TECHNICAL UNIVERSITY OF GDANSK,10
PIERZ PIOTR,10
ZACHODNIOPOMORSKI UNIV TECH W SZCZECINIE,10
WASZKIEWICZ ARKADIUSZ,10
STEM CELLS SPIN S A,10
UNIV PRZYRODNICZY,10
LSA SP Z O O,10
SKOFF SPOLKA Z O O,10
KOWNACKI IRENEUSZ,10
ADAMUS JAN,10
PIKUL BARTLOMIEJ,10
DEBNIAK TADEUSZ,10
SEKULA ROBERT,10
INST CHEMII BIOORGANICZNEJ PAN,10
JURZAK PAWEL,10
MROWIEC JACEK STANISLAW,10
ZELMER S A,10
SZCZUBIALKA KRZYSZTOF,10
WLADYSLAW WLODARCZYK IGLOO,10
AKAD ROLNICZA,10
INST OF BIOCHEMISTRY AND BIOPH,10
NOWAK JANUSZ,10
KURZAWSKI GRZEGORZ,10
INST FIZYKI PAN,10
INST SPAWALNICTWA,10
SZKULMOWSKI MACIEJ,10
CIECHOMSKI TOMASZ A,10
BIOLEK SP Z O O,10
Tisoft Wojciech Jedrzejewski,10
HIRSZFELD LUDWICK PAN INST,10
PLONSKA-OCYPA KATARZYNA,10
WIELICKI RAFAL,10
PCC ROKITA SA,10
MAJKA ZBIGNIEW,10
Pernak Juliusz,10
FISCHER HERWIG,10
DASTYCH JAROSLAW,10
BUCKI ADAM,10
JURMET SP Z O O,10
WIDLA WALDEMAR,10
IMPACT CLEAN POWER TECHNOLOGY S A,10
INST TECH MATERIALÓW ELEKTRONICZNYCH,10
WIECZOREK MACIEJ,10
DUDA DAWID,10
LIGENZA SLAWOMIR,10
INST WLOKIEN NATURALNYCH I ROSLIN ZIELARSKICH,10
MARCINKOWSKA MONIKA,10
LAZARSKI WOJCIECH,10
DABEK MAREK,10
ABIDOPHARMA PL SP Z O O,10
RYLSKI ROMUALD ANDRZEJ,10
STRZELCZYK TOMASZ,10
OKNOPLAST SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,10
INST TELE I RADIOTECH,10
ZABRZANSKIE GWARECTWO WEGLOWE,10
INST LOTNICTWA,10
SZMURLO WLODZIMIERZ,10
MACULEWICZ SLAWOMIR ANDRZEJ,10
CT BADAN WYSOKOCISNIENIOWYCH P,10
BONE VITAE S A,10
ONCOARENDI THERAPEUTICS S A,10
CONSULT SEPPO,9
INST OBRÓBKI PLASTYCZNEJ,9
ACHMATOWICZ OSMAN,9
FIGARSKI JACEK,9
PEPTADERM SP Z O O,9
OS BAD ROZWOJOWY SAMOCH,9
JUNCZYK ADAM PIOTR,9
BEDNAROWSKI DARIUSZ,9
NOWAK ZYGMUNT,9
DLUGOLECKI PIOTR EDWARD,9
INTERMAG SP Z O O,9
KUCHARCZYK KRZYSZTOF,9
BALTON SP Z O O,9
DUDZIEC BEATA,9
POLISH ACADEMY OF SCIENCES,9
DARZYNKIEWICZ EDWARD,9
HYBRES SP ZOO,9
CZYZEWSKI ANDRZEJ,9
LIW CARE TECHNOLOGY SP Z O O,9
MARKIEWICZ WOJCIECH T,9
MEDICALGORITHMICS SP Z O O,9
KOWALSKA JOANNA,9
NAWROCKI ADAM,9
LEWANDOWSKI DARIUSZ,9
GULAK MACIEJ,9
INST TRANSPORTU SAMOCHODOWEGO,9
MATYJASIK JOANNA,9
SELVITA SA,9
KOSMETYKOW POLLENA EWA S A FAB,9
SECURA B C SP Z O O,9
ZMUDA HENRYK,9
MACIEJEWSKI HIERONIM,9
BELTOWSKI PIOTR,9
KORBEL ANDRZEJ,9
SZKLARZ ZBIGNIEW,9
ZAKLADY KINESKOPOWE UNITRA POL,9
OLSZEWSKI RADOSLAW,9
RAUCH JAN,9
WAKSMUNDZKI JACEK,9
INST BADAWCZY DROG I MOSTOW,9
INST OF BIOORG CHEMISTRY,9
ATM S A,9
FAMUR SPOLKA AKCYJNA,9
NARUSZEWICZ MAREK,9
BORATYNSKI JANUSZ,9
INST INZYNIERII MATERIALOW POLIMEROWYCH I BARWNIKOW,9
UNIV W BIALYMSTOKU,9
ANEW INST SP Z O O,9
PRZED PANSTWOWE OGOLNOKRAJOWE,9
INST PODSTAWOWYCH PROBLEMOW TE,9
WIMMER MALGORZATA,9
SMOLAREK KAZIMIERA,9
INST CHEMII PRZEMYSLOWEJ IM PR,9
FUNDACJA UNIV IM ADAMA MICKIEWICZA W POZNANIU,9
ADAMOWICZ PIOTR,9
MALICKI SLAWOMIR,9
ZJEDNOCZONE ZAKLADY ELEKTRONIC,9
INST CHEMII ORGANICZNEJ POLSKA AKADEMIA NAUK,9
STRUS MAGDALENA,9
RADMOR,9
KESIK MALGORZATA,9
E K A D INNOTECH SP Z O O,9
KOPER MICHAL,9
SZAJNA TOMASZ,9
SKRZYPSKI MARCIN,9
GARLIKOWSKI KONRAD,9
INST LOTNICTWA W WARSZAWIE,9
PIOTR JEUTÉ,9
INST CHEM PRZEROBKI WEGLA,9
PERLIN PIOTR,9
KOLACZKOWSKI MARCIN,9
GLOGOWSKI MICHAL,9
PRZED PRODUKCJI,9
MISICKA-KESIK ALEKSANDRA,9
INST MEDYCYNY DOSWIADCZALNEJ I KLINICZNEJ IM MIROSLAWA MOSSAKOWSKIEGO POLSKIEJ AKADEMII NAUK,9
STANIUK JACEK,9
BALTIC CERAMICS S A,9
JEMIELITY JACEK,9
INST OF NUCLEAR CHEMISTRY AND,9
ARSENIUK ROMAN,9
MATOGA LUKASZ,9
ORKISZ MICHAL,9
INST OF BIOTECHNOLOGY ANTIBIOT,9
SAMARDAKIEWICZ BARTLOMIEJ,9
INST TECH EKSPLOATACJI,9
MEDICALGORITHMICS S A,9
SURAZSKI JACEK,9
MARKIEWICZ MARIA,8
GLICE MAGDALENA,8
RYCHLEWSKI LESZEK,8
GAWRON TOMASZ,8
CZERNECKI ANDRZEJ,8
KASINSKI BOGUSLAW,8
MARCINKIEWICZ JANUSZ,8
SWIRSKI KONRAD,8
INST TECH WOJSK LOTNICZYCH,8
BERNACZEK BOLESLAW,8
ADVANCED GRAPHENE PRODUCTS SP Z O O,8
LAGIEWKA MARCIN PIOTR,8
MARCISZ ZYGMUNT,8
KARLEWSKI TOMASZ,8
PROCHIMIA SURFACES SP Z O O,8
PIECHOCKI JANUSZ,8
WOJCIK RYSZARD,8
POMORSKI UNIV MEDYCZNY W SZCZECINIE,8
ZADECKI WIESLAW,8
NIJSSEN RUUD,8
BUDZINSKI DARIUSZ,8
SAJDAK LUKASZ,8
KOBEK PIOTR EDWARD,8
ICB Pharma,8
PNIEWSKI TOMASZ,8
SIERZPUTOWSKI LESZEK P,8
WYZSZA SZKOLA MORSKA,8
KEDZIORA ZYGMUNT,8
NARODOWY INST LEKOW,8
DWORAKOWSKI WALDEMAR K,8
RZESKI WOJCIECH,8
PHARMENA SP Z O O,8
BAZELA PRZEMYSLAW,8
ENBIO TECHNOLOGY SP Z O O,8
ARRIETA HERNAN VICTOR,8
KALISIAK JERZY,8
WOJCIK ROBERT,8
WOLOWIEC JAROSLAW,8
INST MEDYCYNY DOSWIADCZALNEJ I KLINICZNEJ,8
KTG SP Z O O,8
LUKASZYK SZYMON,8
BOMAR S A W UPADLOSCI UKLADOWEJ,8
KLIMAPOL SP Z O O J V,8
KIEDIK MACIEJ,8
AKAD ROLNICZO TECH,8
BIOINFOBANK SP Z O O,8
MAZGALSKI JAROSLAW,8
INST TECH DREWNA,8
WARCHOL MAREK,8
UNIV JAGIELLO SKI,8
KOWALSKI PIOTR,8
JEUTÉ PIOTR,8
IZYDORZAK MARCIN,8
CUPRJAK MARCIN,8
KAZANA KRYSZTOF,8
NARODOWY INST LEKÓW,8
ADAMIEC PETER,8
SCHATTDECOR SP Z O O,8
KORONA CANDLES S A,8
ZAKLADY TWORZYW SZTUCZNYCH NIT,8
VTS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,8
INST METALI NIEZELAZNYCH,8
CYBULSKI MARCIN,8
CHLUDZINSKI DANIEL,8
LAGIEWKA LUCJAN,8
CHMIELEWSKI RADOSLAW,8
POREBSKA ANNA,8
MAKULSKA SYLWIA,8
DOBRIANSKI JURIJ,8
STOWARZYSZENIE SW CELESTYNA,8
SZEWCZYK BOGUSLAW,8
AKADEMIA MEDYCZNA IM PIASTOW S,8
ERGO PLUS POLSKA,8
WROCLAWSKIE CENTRUM BADAN EIT + SP Z O O,8
SLUSARCZYK PAWEL,8
HTL STREFA SP Z O O,8
DUDA MICHAL,8
LIPINSKI TOMASZ,8
STACHURA DARIUSZ,8
TOMALA JANUSZ,8
LEDSON SP ZOO SP K,8
SLEZAK DOMINIK,8
Rams Witold,8
GAWERSKI RYSZARD,8
KLEJC ADRIAN ADAM,8
KAWALEC MARIA,8
OPTOPOL TECHNOLOGY SPOLKA AKCY,8
CIEPLY PRZEMYSLAW EUGENIUSZ,8
KAWALEC ANDRZEJ,8
PISOWACKI PATRYK,8
ROLLE KATARZYNA,8
MACKIEWICZ ANDRZEJ,8
BEDNARZ RYSZARD,8
AIC SPÓLKA AKCYJNA,8
NOMANET SP Z O O,8
GONSIOR LUKASZ,8
SKIBICKI PIOTR,8
KOELNER RAWLPLUG IP SP Z O O,8
SLOWKO WITOLD,8
SOKOLOWSKI BARTLOMIEJ,8
SAMSEL MAREK,8
FIJALKOWSKI ANDRZEJ,8
TABOROWSKI LUKASZ PIOTR,8
POLITECHNIKA OPOLSKA,8
TARGOWSKI PIOTR,7
ZIELECKA MARIA,7
WENDA MAGDALENA,7
BARBASIEWICZ MICHAL,7
KOBZDA PIOTR,7
BIENIEK MICHAL,7
NIEKRASZEWICZ ANTONI,7
SOKOLOWSKI JANUSZ,7
LADA ZYGMUNT,7
WAZ-AMBROZEWICZ ANDRZEJ,7
SIBILSKA IZABELA,7
MEDIDATA SP Z O O,7
GLOWACKI MAREK,7
GDAŃSKI UNIV MEDYCZNY,7
KACZYNSKI ZBIGNIEW,7
KEPSKA BLANKA,7
SZCZEPEK WOJCIECH,7
TS LAB,7
ZAKLADY URZADZEN CHEM,7
KUTNOWSKIE ZAKL FARMA,7
POWALOWSKI PIOTR,7
TAKALA SEPPO,7
UNIV MIKOLAJA KOPERNIKA,7
PRZED PROD USLUGOWO HANDLOWE M,7
HCH SPOLKA Z O O,7
WOJDAN KONRAD,7
SAMSON-LAZINSKA DOROTA,7
RYNKIEWICZ ROBERT,7
INST PRZEMYSLU FARMACEUTIC,7
LFC SP Z O O,7
CYRUCHIN KRYSTYNA,7
GLAXOSMITHKLINE PHARMACEUTICAL,7
LESZCZYNSKI MICHAL,7
AJH047 SP Z O O,7
POLITECHNIKA SZCZECINSKA,7
PAWLOWSKI TADEUSZ,7
KOSSON PIOTR,7
ADVANCED DIGITAL BROADCAST LTD,7
MANKOWSKI JERZY,7
KOBEL-BUYS KRYSTYNA,7
ZIMECKI MICHAL,7
KACZMAREK KRZYSZTOF,7
SOKOLOWSKA KATARZYNA,7
SOSNOWSKI TOMASZ,7
VIS INVENTIS SPOLKA Z O O,7
HIPROMINE S A,7
URBANOWSKI ALOJZY,7
INST ANTYBIOTYKOW,7
CHOMIAK TOMASZ,7
SVOBODA PIOTR SLEBIODA,7
RUTYNOWSKI WLODZINIERZ,7
WOJDAS PAWEL,7
CNT SPOLKA Z O O,7
PLUMLEY JULIAN ASHTON,7
TECHNOLOGIE EKOLOGICZNE,7
DZEGAN DARIUSZ,7
CZERNOUS DAMIAN,7
ZARZYCKI DANIEL,7
STAWINSKI TOMASZ,7
MAJCHRZAK MARIUSZ,7
RACHON JANUSZ,7
UNIV PRZYRODNICZY W POZNANIU,7
Politechnika Wrocławska,7
KAPKOWSKI GRZEGORZ,7
STEPIEN JACEK BERNARD,7
CEGIELSKI MAREK,7
BOROWSKI EDWARD,7
OPUS SP Z O O,7
SKOTAN S A,7
LIPNIACKI ANDRZEJ,7
LABUZ PRZEMYSLAW,7
AIC SPÓŁKA AKCYJNA,7
PIECHNA JANUSZ,7
PRZYBYLSKI JOZEF,7
PROSYNCHEM,7
DEMBKOWSKI LESZEK,7
INDUSTRY TECHNOLOGIES S A,7
SIELSKI KAZIMIERZ,7
KOCZARA WLODZIMIERZ,7
KGHM POLSKA MIEDZ S A,7
OPTARGET SP Z O O,7
INST PSYCHONEUROLOGICZNYTE,7
INST INZYNIERII CHEMICZNEJ POLSKIEJ AKADEMII NAUK,7
KOLESINSKA BEATA,7
NOWAK WIESLAW,7
EVIO POLSKA SP Z O O,7
UNIV EKONOMICZNY WE WROCLAWIU,7
MIGASZEWSKI FRYDERYK,7
GUBERNATOR JERZY,7
KORONIAK LUKASZ,7
MILKOWSKI BOGUMIL,7
STOCHEL GRAZYNA,7
